time,badj_open,badj_high,badj_low,badj_close,unadj_open,unadj_high,unadj_low,unadj_close,source,conflict,unadj_prev_close,badj_prev_close,badj_close_delta,badj_open_gap_delta,continuous_return,continuous_gap_return,unadj_raw_return,estimated_roll_effect_return,mnq_point_pnl_per_contract,nq_point_pnl_per_contract
2007-10-08,5668.25,5680.5,5661.5,5677.75,2170.75,2183.0,2164.0,2180.25,long_file_only,False,2170.75,5668.25,9.5,0.0,0.00437636761487965,0.0,0.004376367614879584,-6.591949208711867e-17,19.0,190.0
2007-10-09,5678.0,5692.5,5673.75,5691.75,2180.5,2195.0,2176.25,2194.25,long_file_only,False,2180.25,5677.75,14.0,0.25,0.006421281963077629,0.00011466574934067194,0.006421281963077563,-6.591949208711867e-17,28.0,280.0
2007-10-10,5691.5,5696.5,5681.75,5694.0,2194.0,2199.0,2184.25,2196.5,long_file_only,False,2194.25,5691.75,2.25,-0.25,0.0010254073145721772,-0.00011393414606357525,0.0010254073145721243,-5.2909066017292616e-17,4.5,45.0
2007-10-11,5693.5,5711.5,5643.25,5664.25,2196.0,2214.0,2145.75,2166.75,long_file_only,False,2196.5,5694.0,-29.75,-0.5,-0.013544274982927384,-0.00022763487366264513,-0.013544274982927429,-4.5102810375396984e-17,-59.5,-595.0
2007-10-12,5663.5,5697.5,5654.0,5696.75,2166.0,2200.0,2156.5,2199.25,long_file_only,False,2166.75,5664.25,32.5,-0.75,0.014999423099111573,-0.00034614053305642093,0.014999423099111509,-6.418476861114186e-17,65.0,650.0
2007-10-15,5697.0,5701.5,5659.5,5678.25,2199.5,2204.0,2162.0,2180.75,long_file_only,False,2199.25,5696.75,-18.5,0.25,-0.008411958622257588,0.00011367511651699443,-0.008411958622257631,-4.336808689942018e-17,-37.0,-370.0
2007-10-16,5677.5,5683.5,5659.0,5673.75,2180.0,2186.0,2161.5,2176.25,long_file_only,False,2180.75,5678.25,-4.5,-0.75,-0.0020635102602315717,-0.00034391837670526195,-0.002063510260231549,2.2551405187698492e-17,-9.0,-90.0
2007-10-17,5676.75,5700.25,5657.75,5694.25,2179.25,2202.75,2160.25,2196.75,long_file_only,False,2176.25,5673.75,20.5,3.0,0.00941987363584147,0.0013785180930499712,0.009419873635841514,4.336808689942018e-17,41.0,410.0
2007-10-18,5699.0,5707.5,5675.75,5703.5,2201.5,2210.0,2178.25,2206.0,long_file_only,False,2196.75,5694.25,9.25,4.75,0.004210765904176624,0.002162285194036645,0.004210765904176572,-5.204170427930421e-17,18.5,185.0
2007-10-19,5704.0,5715.75,5644.0,5647.25,2206.5,2218.25,2146.5,2149.75,long_file_only,False,2206.0,5703.5,-56.25,0.5,-0.025498640072529465,0.00022665457842248413,-0.025498640072529444,2.0816681711721685e-17,-112.5,-1125.0
