rule,date,equity,pre_rebalance_leverage,post_rebalance_leverage,contracts_fractional,rebalanced
Monthly,2013-05-28,2.1804750249948968,2.7720510380546264,2.7720510380546264,0.0010062240813200085,False
Monthly,2013-05-29,2.1647057321576524,2.7848073674104077,2.7848073674104077,0.0010062240813200085,False
Monthly,2013-05-30,2.193551507557319,2.7614892783128164,2.7614892783128164,0.0010062240813200085,False
Monthly,2013-05-31,2.1340067831134215,2.8104871475420894,3.0,0.0010740743812331624,True
Monthly,2013-06-03,2.14528456411637,2.989485981308411,2.989485981308411,0.0010740743812331624,False
Monthly,2013-06-04,2.122191964919857,3.0111345423871785,3.0111345423871785,0.0010740743812331624,False
Monthly,2013-06-05,2.0443215722804524,3.087740805604203,3.087740805604203,0.0010740743812331624,False
Monthly,2013-06-06,2.0676356997149274,3.0643525722485774,3.0643525722485774,0.0010740743812331624,False
Monthly,2013-06-07,2.134554003241294,2.9994825039838187,2.9994825039838187,0.0010740743812331624,False
Monthly,2013-06-10,2.1481891692626673,2.9869438154225882,2.9869438154225882,0.0010740743812331624,False
Monthly,2013-06-11,2.0980277920372483,3.034296724633632,3.034296724633632,0.0010740743812331624,False
Monthly,2013-06-12,2.0048144352605317,3.129033447316072,3.129033447316072,0.0010740743812331624,False
Monthly,2013-06-13,2.095356394372749,3.0368836961125933,3.0368836961125933,0.0010740743812331624,False
Monthly,2013-06-14,2.0515433285806046,3.0805362826767233,3.0805362826767233,0.0010740743812331624,False
Monthly,2013-06-17,2.1116914939296616,3.021275523846712,3.021275523846712,0.0010740743812331624,False
Monthly,2013-06-18,2.1627100270382367,2.9683787915952133,2.9683787915952133,0.0010740743812331624,False
Monthly,2013-06-19,2.093432229448698,3.033518205035688,3.033518205035688,0.0010740743812331624,False
Monthly,2013-06-20,1.9296358863106404,3.206132555780558,3.206132555780558,0.0010740743812331624,False
Monthly,2013-06-21,1.8977032078872151,3.2431025983868143,3.2431025983868143,0.0010740743812331624,False
Monthly,2013-06-24,1.8525920838754224,3.297722760249606,3.297722760249606,0.0010740743812331624,False
Monthly,2013-06-25,1.8832032037405675,3.2603737016396983,3.2603737016396983,0.0010740743812331624,False
Monthly,2013-06-26,1.936369885611609,3.1983108848205926,3.1983108848205926,0.0010740743812331624,False
Monthly,2013-06-27,1.9715134989177627,3.1592770428354644,3.1592770428354644,0.0010740743812331624,False
Monthly,2013-06-28,1.975272759252079,3.155167592887395,3.0000000000000004,0.0010212526114185673,True
Monthly,2013-07-01,2.007748560329763,2.9674969529239017,2.9674969529239017,0.0010212526114185673,False
Monthly,2013-07-02,2.0202059465190563,2.9555171852387834,2.9555171852387834,0.0010212526114185673,False
Monthly,2013-07-03,2.0475815622896922,2.929219864704307,2.929219864704307,0.0010212526114185673,False
Monthly,2013-07-05,2.088431666746435,2.891483972145289,2.891483972145289,0.0010212526114185673,False
Monthly,2013-07-08,2.092387725341539,2.888213429508116,2.888213429508116,0.0010212526114185673,False
Monthly,2013-07-09,2.1240465562955144,2.8600696820970035,2.8600696820970035,0.0010212526114185673,False
Monthly,2013-07-10,2.1689816711979315,2.821534342678774,2.821534342678774,0.0010212526114185673,False
Monthly,2013-07-11,2.2889788530396133,2.7260424217031676,2.7260424217031676,0.0010212526114185673,False
Monthly,2013-07-12,2.3032763895994735,2.715328052060164,2.715328052060164,0.0010212526114185673,False
Monthly,2013-07-15,2.325743947050682,2.698757340737362,2.698757340737362,0.0010212526114185673,False
Monthly,2013-07-16,2.3211483102992982,2.7021207068920083,2.7021207068920083,0.0010212526114185673,False
Monthly,2013-07-17,2.3385096046934137,2.6894840178541006,2.6894840178541006,0.0010212526114185673,False
Monthly,2013-07-18,2.2740080968094567,2.7372526400981116,2.7372526400981116,0.0010212526114185673,False
Monthly,2013-07-19,2.260221186555306,2.7478495437906756,2.7478495437906756,0.0010212526114185673,False
Monthly,2013-07-22,2.2740080968094567,2.7372526400981116,2.7372526400981116,0.0010212526114185673,False
Monthly,2013-07-23,2.2300942345184582,2.771461720602916,2.771461720602916,0.0010212526114185673,False
Monthly,2013-07-24,2.2753765281198333,2.7360552604240085,2.7360552604240085,0.0010212526114185673,False
Monthly,2013-07-25,2.278764990648665,2.7337794617776505,2.7337794617776505,0.0010212526114185673,False
Monthly,2013-07-26,2.3206363477168264,2.7024967926972665,2.7024967926972665,0.0010212526114185673,False
Monthly,2013-07-29,2.3107774820335245,2.7096073980681097,2.7096073980681097,0.0010212526114185673,False
Monthly,2013-07-30,2.351267697628585,2.680320012655356,2.680320012655356,0.0010212526114185673,False
Monthly,2013-07-31,2.3465205654184453,2.6835663385221427,3.0000000000000004,0.0011416739695516277,True
Monthly,2013-08-01,2.4140806634902705,2.9441813626756237,2.9441813626756237,0.0011416739695516277,False
Monthly,2013-08-02,2.4675461566753327,2.9019028145255326,2.9019028145255326,0.0011416739695516277,False
Monthly,2013-08-05,2.4675461566753327,2.9019028145255326,2.9019028145255326,0.0011416739695516277,False
Monthly,2013-08-06,2.426445893771474,2.934118124125159,2.934118124125159,0.0011416739695516277,False
Monthly,2013-08-07,2.421508557851167,2.9382147567380383,2.9382147567380383,0.0011416739695516277,False
Monthly,2013-08-08,2.4466253851813025,2.9183172253592806,2.9183172253592806,0.0011416739695516277,False
Monthly,2013-08-09,2.4155990542068433,2.9428033427291247,2.9428033427291247,0.0011416739695516277,False
Monthly,2013-08-12,2.4401450445522035,2.9232602290113436,2.9232602290113436,0.0011416739695516277,False
Monthly,2013-08-13,2.469828567760546,2.900145612722285,2.900145612722285,0.0011416739695516277,False
Monthly,2013-08-14,2.4384325335978763,2.9246109345013758,2.9246109345013758,0.0011416739695516277,False
Monthly,2013-08-15,2.319127603779731,3.023620394823306,3.023620394823306,0.0011416739695516277,False
Monthly,2013-08-16,2.316273418855852,3.0261139634907788,3.0261139634907788,0.0011416739695516277,False
Monthly,2013-08-19,2.3176311894072064,3.0250800382134115,3.0250800382134115,0.0011416739695516277,False
Monthly,2013-08-20,2.341964776359238,3.0038859129698623,3.0038859129698623,0.0011416739695516277,False
Monthly,2013-08-21,2.299722839485828,3.040693836422114,3.040693836422114,0.0011416739695516277,False
Monthly,2013-08-22,2.388978585144112,2.9646035816961027,2.9646035816961027,0.0011416739695516277,False
Monthly,2013-08-23,2.433876370455953,2.928209436369568,2.928209436369568,0.0011416739695516277,False
Monthly,2013-08-26,2.4329331447632048,2.9291100469737152,2.9291100469737152,0.0011416739695516277,False
Monthly,2013-08-27,2.2925072465083547,3.0472763086469707,3.0472763086469707,0.0011416739695516277,False
